country,cou_relationship_com ,company,com_relationship_tra,tracker,t_relationship_cat,category
USA,besitzt,adloox,unterteilt sich in,adloox,trackt mittels,advertising
USA,besitzt,adzerk,unterteilt sich in,adzerk,trackt mittels,advertising
CHN,besitzt,mediav,unterteilt sich in,mediav,trackt mittels,advertising
FRA,besitzt,digiteka,unterteilt sich in,videoadex.com,trackt mittels,advertising
FRA,besitzt,admo.tv,unterteilt sich in,admo.tv,trackt mittels,advertising
FRA,besitzt,nextperf,unterteilt sich in,next_performance,trackt mittels,advertising
RUS,besitzt,yandex,unterteilt sich in,yandex_passport,trackt mittels,customer_interaction
USA,besitzt,google,unterteilt sich in,firebaseio.com,trackt mittels,misc
FRA,besitzt,criteo,unterteilt sich in,hooklogic,trackt mittels,advertising
USA,besitzt,automattic,unterteilt sich in,polldaddy,trackt mittels,customer_interaction
USA,besitzt,leadplace,unterteilt sich in,leadplace,trackt mittels,site_analytics
USA,besitzt,shareaholic,unterteilt sich in,shareaholic,trackt mittels,site_analytics
USA,besitzt,sojern,unterteilt sich in,sojern,trackt mittels,advertising
USA,besitzt,resonate,unterteilt sich in,resonate_networks,trackt mittels,advertising
USA,besitzt,adobe,unterteilt sich in,livefyre,trackt mittels,comments
USA,besitzt,almondnet,unterteilt sich in,intent_iq,trackt mittels,advertising
USA,besitzt,visa,unterteilt sich in,cardinal,trackt mittels,site_analytics
GBR,besitzt,qubit,unterteilt sich in,qubit,trackt mittels,site_analytics
CZE,besitzt,etarget,unterteilt sich in,etarget,trackt mittels,advertising
BRA,besitzt,admatic,unterteilt sich in,admatic,trackt mittels,advertising
USA,besitzt,almondnet,unterteilt sich in,datonics,trackt mittels,advertising
USA,besitzt,akamai,unterteilt sich in,janrain,trackt mittels,site_analytics
USA,besitzt,sundaysky,unterteilt sich in,sundaysky,trackt mittels,advertising
USA,besitzt,oracle,unterteilt sich in,datalogix,trackt mittels,advertising
USA,besitzt,steelhouse,unterteilt sich in,steelhouse,trackt mittels,advertising
FRA,besitzt,adventori,unterteilt sich in,adventori,trackt mittels,misc
FRA,besitzt,accengage,unterteilt sich in,accengage,trackt mittels,advertising
USA,besitzt,kissmetrics,unterteilt sich in,kissmetrics.com,trackt mittels,site_analytics
GER,besitzt,mediametrics,unterteilt sich in,mediametrics,trackt mittels,social_media
USA,besitzt,oracle,unterteilt sich in,oracle_rightnow,trackt mittels,misc
FRA,besitzt,vivendi,unterteilt sich in,dailymotion_advertising,trackt mittels,advertising
FRA,besitzt,zebestof,unterteilt sich in,zebestof.com,trackt mittels,advertising
USA,besitzt,agilone,unterteilt sich in,agilone,trackt mittels,site_analytics
USA,besitzt,channeladvisor,unterteilt sich in,channeladvisor,trackt mittels,advertising
USA,besitzt,ibm,unterteilt sich in,silverpop,trackt mittels,customer_interaction
USA,besitzt,olapic,unterteilt sich in,olapic,trackt mittels,advertising
USA,besitzt,webtrends,unterteilt sich in,webtrends,trackt mittels,site_analytics
FRA,besitzt,realytics,unterteilt sich in,realytics,trackt mittels,site_analytics
USA,besitzt,pixalate,unterteilt sich in,pixalate,trackt mittels,advertising
USA,besitzt,oracle,unterteilt sich in,atg_recommendations,trackt mittels,advertising
USA,besitzt,addshoppers,unterteilt sich in,addshoppers,trackt mittels,social_media
USA,besitzt,customer.io,unterteilt sich in,customer.io,trackt mittels,customer_interaction
GBR,besitzt,reevoo,unterteilt sich in,reevoo.com,trackt mittels,advertising
USA,besitzt,amazon_associates,unterteilt sich in,amazon_associates,trackt mittels,advertising
